enumeration,prued,prued(improvement)
0.0032999515533447266,0.0009190797805786133,0.00026738643646240234
0.0058689117431640625,0.0006279230117797851,0.00019559860229492187
0.00636601448059082,0.0004970073699951172,8.981227874755859e-05
0.005113840103149414,0.0006916046142578125,0.0004842042922973633
0.007284879684448242,0.0011322975158691406,0.0011710882186889648
0.00962376594543457,0.0011671066284179687,0.00043859481811523435
0.014756202697753906,0.001718592643737793,0.002118706703186035
0.027406930923461914,0.003121304512023926,0.0036275386810302734
0.0477750301361084,0.003374600410461426,0.001054692268371582
0.07429933547973633,0.005373620986938476,0.006105685234069824
0.16485023498535156,0.00831916332244873,0.005085420608520508
0.33699798583984375,0.007637786865234375,0.00508730411529541
0.7849302291870117,0.017277789115905762,0.0050955057144165036
1.3487820625305176,0.018680286407470704,0.017710089683532715
2.3308632373809814,0.0537409782409668,0.007266092300415039
4.846161842346191,0.23609728813171388,0.033593177795410156
8.614412069320679,0.2757489919662476,0.02764570713043213
26.220772743225098,0.21862399578094482,0.012413787841796874
181.61546421051025,0.6888659238815308,0.024730873107910157
